key,3
#,Name
offset,0
int32,str
0,
1,重生之境
2,第七星曆
3,蒼穹之禁城
4,龍詩戰爭終章
5,龍詩戰爭尾聲
6,紅蓮之狂潮
7,解放戰爭戰後
8,暗影之逆焰
9,拂曉回歸
10,末日序曲
11,曉月之終途
12,嶄新的冒險
13,金曦之遺輝
14,金曦之遺輝終章
15,凌冬會的密謀
16,蠻神威脅
17,巴哈姆特
18,水晶塔
19,亞歷山大
20,上古眾神
21,瑪哈之影
22,歐米茄時空狹縫
23,歐米茄時空狹縫外傳
24,重返伊瓦利斯
25,四聖獸奇譚
26,伊甸
27,寄葉異聞：暗黑天啟
28,神兵系列
29,萬魔殿
30,萬魔殿外傳
31,艾歐澤亞神話
32,阿卡狄亞登天鬥技場
33,瓦納·迪爾的迴響
34,劇情任務
35,日常任務
36,劇情任務
37,日常任務
38,劇情任務
39,日常任務
40,劇情任務
41,日常任務
42,劇情任務
43,日常任務
44,劇情任務
45,日常任務
46,劇情任務
47,日常任務
48,劇情任務
49,日常任務
50,劇情任務
51,日常任務
52,劇情任務
53,日常任務
54,劇情任務
55,日常任務
56,劇情任務
57,日常任務
58,劇情任務
59,日常任務
60,劇情任務
61,日常任務
62,劇情任務
63,日常任務
64,劇情任務
65,日常任務
66,劇情任務
67,日常任務
68,劇情任務
69,日常任務
70,劇情任務
71,日常任務
72,劇情任務
73,日常任務
74,各族盟友
75,各族盟友：蒼穹之章
76,各族盟友：紅蓮之章
77,各族盟友：曉月之章
78,龍詩戰爭外傳
79,拂曉回歸外傳
80,嶄新的冒險外傳
81,非著名調查員
82,非著名調查員：蒼穹之章
83,非著名調查員：紅蓮之章
84,希爾迪布蘭德歸來
85,曼德維爾武器
86,希爾迪布蘭德歸來：金曦之章
87,黃道武器
88,元靈武器
89,禁地優雷卡
90,天佑女王
91,幻境武器
92,第七靈災回憶錄
93,郵差莫古力
94,聖恩達利姆神學院記
95,虛無界再生計劃
96,塔塔露的大繁榮商店
97,多瑪冒險者團
98,多瑪飛地重建記
99,重建伊修加德：劇情任務
100,重建伊修加德：支線任務
101,莫雯卓越工具
102,死者宮殿
103,天之御柱
104,正統優雷卡
105,朝聖交錯路
106,無人島開拓記
107,多變迷宮
108,宇宙探索：劇情任務
109,宇宙探索：支線任務
110,蜃景幻界新月島
111,支線任務：拉諾西亞
112,支線任務：黑衣森林
113,支線任務：薩納蘭
114,支線任務：庫爾札斯
115,支線任務：摩杜納
116,支線任務：伊修加德
117,支線任務：阿巴拉提亞雲海
118,支線任務：龍堡參天高地
119,支線任務：龍堡內陸低地
120,支線任務：翻雲霧海
121,支線任務：田園郡
122,支線任務：魔大陸
123,支線任務：神拳痕
124,支線任務：基拉巴尼亞邊區
125,支線任務：基拉巴尼亞山區
126,支線任務：基拉巴尼亞湖區
127,支線任務：黃金港
128,支線任務：紅玉海
129,支線任務：延夏
130,支線任務：太陽神草原
131,支線任務：水晶都
132,支線任務：游末邦
133,支線任務：雷克蘭德
134,支線任務：珂露西亞島
135,支線任務：安穆·艾蘭
136,支線任務：伊爾美格
137,支線任務：拉凱提卡大森林
138,支線任務：黑風海
139,支線任務：舊薩雷安
140,支線任務：拉札罕
141,支線任務：迷津
142,支線任務：薩維奈島
143,支線任務：加雷馬
144,支線任務：嘆息海
145,支線任務：厄爾庇斯
146,支線任務：天外天垓
147,支線任務：圖萊尤拉
148,支線任務：奧闊帕恰山
149,支線任務：克扎瑪烏卡濕地
150,支線任務：亞克特爾樹海
151,支線任務：夏勞尼荒野
152,支線任務：遺產之地
153,支線任務：九號解決方案
154,支線任務：活著的記憶
155,劍術師任務
156,格鬥家任務
157,斧術師任務
158,槍術師任務
159,弓箭手任務
160,雙劍師任務
161,幻術師任務
162,咒術師任務
163,秘術師任務
164,刻木匠任務
165,鍛鐵匠任務
166,鑄甲匠任務
167,雕金匠任務
168,製革匠任務
169,裁衣匠任務
170,煉金術士任務
171,烹調師任務
172,採礦工任務
173,園藝工任務
174,捕魚人任務
175,騎士任務
176,武僧任務
177,戰士任務
178,龍騎士任務
179,吟遊詩人任務
180,忍者任務
181,白魔法師任務
182,黑魔法師任務
183,召喚師任務
184,學者任務
185,暗黑騎士任務
186,機工士任務
187,占星術士任務
188,武士任務
189,赤魔法師任務
190,絕槍戰士任務
191,舞者任務
192,賢者任務
193,釤鐮客任務
194,蝰蛇劍士任務
195,繪靈法師任務
196,青魔法師任務
197,金屬工藝部任務
198,手工工藝部任務
199,食藥工藝部任務
200,大地資源部任務
201,水生資源部任務
202,中庸工藝館劇情任務
203,考古系任務
204,天文系任務
205,醫學系任務
206,文化系任務
207,乙太系任務
208,薩雷安魔法大學劇情任務
209,五金店任務
210,筆記工房任務
211,鮮榨果藝任務
212,奇珍異寶任務
213,隨心釣任務
214,萬貨街劇情任務
215,防護職能任務：暗影之章
216,治療職能任務：暗影之章
217,物理進攻職能任務：暗影之章
218,魔法進攻職能任務：暗影之章
219,職能劇情任務：暗影之章
220,防護職能任務：曉月之章
221,治療職能任務：曉月之章
222,近戰職能任務：曉月之章
223,遠程物理職能任務：曉月之章
224,遠程魔法職能任務：曉月之章
225,職能劇情任務：曉月之章
226,防護職能任務：金曦之章
227,治療職能任務：金曦之章
228,近戰職能任務：金曦之章
229,遠程物理職能任務：金曦之章
230,遠程魔法職能任務：金曦之章
231,職能劇情任務：金曦之章
232,黑渦團任務
233,雙蛇黨任務
234,恆輝隊任務
235,季節活動
236,降神節
237,東節
238,戀人節
239,戀人節&女兒節
240,女兒節
241,女兒節&彩蛋狩獵
242,彩蛋狩獵
243,金碟嘉年華
244,紅蓮節
245,新生慶典
246,守護天節
247,星芒節
248,其他季節活動
249,紀念任務
250,來訪者任務
251,
252,
253,
254,
255,
256,
257,
258,
259,
260,
261,
262,
263,
264,
265,
266,
267,
268,
269,傭兵理符任務
270,刻木匠理符任務
271,鍛鐵匠理符任務
272,鑄甲匠理符任務
273,雕金匠理符任務
274,製革匠理符任務
275,裁衣匠理符任務
276,煉金術士理符任務
277,烹調師理符任務
278,採礦工理符任務
279,園藝工理符任務
280,捕魚人理符任務
281,黑渦團理符任務
282,雙蛇黨理符任務
283,恆輝隊理符任務
284,迷宮挑戰
285,大型任務
286,討伐殲滅戰
287,迷宮挑戰
288,大型任務
289,討伐殲滅戰
290,深層迷宮
291,迷宮挑戰
292,大型任務
293,討伐殲滅戰
294,深層迷宮
295,禁地優雷卡
296,迷宮挑戰
297,大型任務
298,討伐殲滅戰
299,天佑女王
300,迷宮挑戰
301,大型任務
302,討伐殲滅戰
303,深層迷宮
304,特殊迷宮
305,迷宮挑戰
306,大型任務
307,討伐殲滅戰
308,蜃景幻界新月島
309,深層迷宮
310,
311,公會令
312,
313,
314,
315,
316,
317,
318,
319,
320,
321,
322,
323,
324,
325,
326,
327,
328,
329,
330,
331,
332,
333,
334,
335,
336,
337,
338,
339,
340,
341,
342,主線劇情任務：第六星曆
343,支線任務：第六星曆
344,職業任務：第六星曆
345,特職任務：第六星曆
346,軍隊任務：第六星曆
